Cargo,Cargo_CHEBI_label,Cargo_CHEBI_id,exact_curie,biosyn_curie,rag_curie
Ergosterol (ERG) loaded diamminedichloridoplatinum(II) [DDP] liposomes (LIP),ergosterol,CHEBI:16933,CHEBI:16933,CHEBI:16933,CHEBI:16933
FAM-labeled Anti-c-Myc siRNA,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:61907,CHEBI:230668
FAM-labeled Anti-c-myc siRNA,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:61907,CHEBI:230668
FER siRNA,nucleic acid,CHEBI:33696,CHEBI:18248,CHEBI:18248,CHEBI:18248
FITC conjugated PNA targeting the duck HBV (DHBV),peptide nucleic acid,CHEBI:48021,CHEBI:37926,CHEBI:37926,CHEBI:37926
FITC-BSA,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:37926,CHEBI:37926
FITC-HSA  conjugated with paclitaxel / thioredoxin /doxorubicin,doxorubicin,CHEBI:28748,,CHEBI:132040,CHEBI:132040
FITC-labeled & Magainin,Magainin 1,CHEBI:80186,,CHEBI:201476,CHEBI:37926
Fluorescein-labeled 70 kDa dextran (Dex70-FL),dextran,CHEBI:52071,,CHEBI:230034,CHEBI:230034
Fluorophore (5-FAM),fluorescein isothiocyanate,CHEBI:37926,,CHEBI:51617,CHEBI:51617
Fluorophore (5-FAM) and MTS,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:52006,CHEBI:51617
Fluorophore (TMR-5(6)C2- maleimide),,NIL,,CHEBI:52156,CHEBI:52282
Fluorophore (iodine),iodide,CHEBI:16382,,CHEBI:51121,CHEBI:51121
GFP modified with adamantane (Ad) tags,protein,CHEBI:36080,,CHEBI:75810,CHEBI:75810
HPV16L2-88 peptide,peptide,CHEBI:16670,,CHEBI:233365,CHEBI:233365
Hsp70-2 chaperone,protein,CHEBI:36080,,CHEBI:78606,CHEBI:78606
Indole-3-acetic acid-based DNA primase/gyrase via amide bond,indole-3-acetic acid,CHEBI:16411,,CHEBI:50750,CHEBI:50750
KAAK peptide,peptide,CHEBI:16670,,CHEBI:61872,CHEBI:47923
KGGK peptide,peptide,CHEBI:16670,,CHEBI:163840,CHEBI:47923
KKKK peptide,peptide,CHEBI:16670,,CHEBI:74564,CHEBI:47923
KLAK peptide,peptide,CHEBI:16670,,CHEBI:78496,CHEBI:47923
KLAKLAK peptide,peptide,CHEBI:16670,,CHEBI:78496,CHEBI:47923
Luminescent iridium(III) complex at N-terminus,iridium(3+),CHEBI:49704,,CHEBI:35728,CHEBI:52667
Metallothionein (MT),protein,CHEBI:36080,,CHEBI:73614,CHEBI:73614
Morpholino (MO),nucleic acid,CHEBI:33696,,CHEBI:37775,CHEBI:37775
Myxovirus resistance protein 1 (Mx1) at N terminus,protein,CHEBI:36080,,CHEBI:195430,CHEBI:195430
NEMO-binding domain (NBD) peptide,peptide,CHEBI:16670,,CHEBI:52162,CHEBI:139249
Nanoparticle (Rhodamine labelled miscelles and Liposomes),nanoparticle,CHEBI:50803,CHEBI:50803,CHEBI:50803,CHEBI:50803
"Nanoparticle, Protein (eGFP)",nanoparticle,CHEBI:50803,,CHEBI:82776,CHEBI:50803
Nanostructured lipid carriers (NLC) loaded with lidocaine hydrochloride (LID),lidocaine hydrochloride,CHEBI:50512,,CHEBI:5109,CHEBI:6456
Near-infrared (NIR)-emitting persistent luminescence nanoparticles (PLNP),nanoparticle,CHEBI:50803,,CHEBI:50803,CHEBI:50803
P16 and its derivatives,protein,CHEBI:36080,,CHEBI:91092,CHEBI:15841
P42-TAT incorporated in a water-in-oil microemulsion,peptide,CHEBI:16670,,CHEBI:53446,CHEBI:53446
PNA targeting the duck HBV (DHBV),peptide nucleic acid,CHEBI:48021,CHEBI:48021,CHEBI:48021,CHEBI:48021
PSD-95 sequences (TP95259 aa 259-284),peptide,CHEBI:16670,,CHEBI:233365,CHEBI:233365
PTEN gene at N terminus,nucleic acid,CHEBI:33696,,CHEBI:219307,CHEBI:219307
Paclitaxel (PTX) loaded nanoparticles,nanoparticle,CHEBI:50803,CHEBI:45863,CHEBI:45863,CHEBI:45863
Peptide (PKA inhibitory peptide),peptide,CHEBI:16670,CHEBI:16670,CHEBI:16670,CHEBI:16670
Peptide [Ca2+ channel binding domain 9CBD3)] and Fluorophore (FITC),peptide,CHEBI:16670,CHEBI:16670,CHEBI:16670,CHEBI:16670
Peptide [Pep-5 (LVVLGKL)],peptide,CHEBI:16670,CHEBI:16670,CHEBI:16670,CHEBI:16670
Peptide [Pep-5 (WE)],peptide,CHEBI:16670,CHEBI:16670,CHEBI:16670,CHEBI:16670
Peptide [Pep-5 (WELVVLG)],peptide,CHEBI:16670,CHEBI:16670,CHEBI:16670,CHEBI:16670
Peptide [Pep-5 (WELVVLGK)],peptide,CHEBI:16670,CHEBI:16670,CHEBI:16670,CHEBI:16670
Peptide [Pep-5 derivative (WELVVLGKL)],peptide,CHEBI:16670,CHEBI:16670,CHEBI:16670,CHEBI:16670
Plasmid pUMVC3-hIL12,nucleic acid,CHEBI:33696,,CHEBI:167525,CHEBI:167525
Platinum nanoparticles (PtNPs),nanoparticle,CHEBI:50803,CHEBI:33364,CHEBI:33364,CHEBI:33364
"Protein (?-galactosidase, eGFP), Phages",protein,CHEBI:36080,CHEBI:36080,CHEBI:36080,CHEBI:36080
"Protein (Cu,Zn-superoxide dismutase)",protein,CHEBI:36080,CHEBI:36080,CHEBI:36080,CHEBI:36080
Qdot585  (quantum dots),quantum dot,CHEBI:50853,,CHEBI:52756,CHEBI:52756
"TAMRA (~450Da), anti-GFP nanobody GBP1 (~14 kDa),NLS-mCherry( ~28 kDa)",tetramethylrhodamine,CHEBI:52282,CHEBI:52282,CHEBI:52282,CHEBI:52282
TSP2HD antigen (hydrophilic domain of the S. japonicum tetraspanin-2),protein,CHEBI:36080,,CHEBI:91149,CHEBI:91149
Tridecapeptide(ZOâ1 recognition unit) via three glycine spacer,peptide,CHEBI:16670,,CHEBI:163476,CHEBI:163476
Triptolide (C-14 hydroxyl group derivatives of TP),Triptolide,CHEBI:9747,CHEBI:9747,CHEBI:9747,CHEBI:9747
Triptolide (TPL),Triptolide,CHEBI:9747,CHEBI:9747,CHEBI:9747,CHEBI:9747
Ubiquitin (Ub),protein,CHEBI:36080,,CHEBI:33517,CHEBI:33517
c-Myc peptide,peptide,CHEBI:16670,,CHEBI:77479,CHEBI:77479
nanocomplexes of PHEA-g-bAPAE-PEG-MLB copolymer,copolymer,CHEBI:60804,,CHEBI:61497,CHEBI:61497
plasmid green fluorescence protein (pGFP),nucleic acid,CHEBI:33696,,CHEBI:26340,CHEBI:26340
siRNA labelled with Alexa488,nucleic acid,CHEBI:33696,,CHEBI:52661,CHEBI:52661
siRNA labelled with Alexa490,nucleic acid,CHEBI:33696,,CHEBI:131968,CHEBI:52664
siRNA labelled with Alexa491,nucleic acid,CHEBI:33696,,CHEBI:52664,CHEBI:52664
siRNA labelled with Alexa494,nucleic acid,CHEBI:33696,,CHEBI:52266,CHEBI:52664
Î²-gal modified with adamantane (Ad) tags,protein,CHEBI:36080,,CHEBI:77112,CHEBI:77112
