entity_text,gold_id,bio_pref,bio_all
K+,CHEBI:29103,,
K+,CHEBI:29103,,
Na+,CHEBI:29101,,CHEBI:29101
K+,CHEBI:29103,,
iodide,CHEBI:16382,CHEBI:16382,CHEBI:16382
iodide,CHEBI:16382,CHEBI:16382,CHEBI:16382
perchlorate,CHEBI:49706,CHEBI:49706,CHEBI:49706
anion,CHEBI:22563,CHEBI:22563,CHEBI:22563
Cl-,CHEBI:17996,,CHEBI:17996
I-,CHEBI:16382,,
HCO3 -,CHEBI:17544,,
formate,CHEBI:15740,CHEBI:15740,CHEBI:15740;CHEBI:52343
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
sodium pentobarbital,CHEBI:7984,CHEBI:7983,CHEBI:26708;CHEBI:7983
Cl-,CHEBI:17996,,CHEBI:17996
Na-gluconate,CHEBI:84997,CHEBI:24265,CHEBI:24265;CHEBI:46854
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
sucrose,CHEBI:17992,CHEBI:17992,CHEBI:17992
polyethylene glycol,CHEBI:46793,,CHEBI:46793
Triton-X,CHEBI:9750,CHEBI:29234,CHEBI:29234
TX,CHEBI:9750,,
TX,CHEBI:9750,,
TX,CHEBI:9750,,
TX,CHEBI:9750,,
Alexa 488,CHEBI:52661,,CHEBI:140911;CHEBI:17995;CHEBI:28221
Alexa 594,CHEBI:51248,,CHEBI:140911;CHEBI:17995;CHEBI:28221
Alexa 594,CHEBI:51248,,CHEBI:140911;CHEBI:17995;CHEBI:28221
Alexa 488,CHEBI:52661,,CHEBI:140911;CHEBI:17995;CHEBI:28221
phalloidin,CHEBI:8040,CHEBI:8040,CHEBI:8040
TX,CHEBI:9750,,
sodium pentobarbital,CHEBI:7984,CHEBI:7983,CHEBI:26708;CHEBI:7983
N2,CHEBI:17997,,
SYBR green I,CHEBI:51461,CHEBI:51461,CHEBI:51461
K+,CHEBI:29103,,
agarose,CHEBI:2511,CHEBI:2511,CHEBI:2511
molecules,CHEBI:36357,,CHEBI:25367
molecules,CHEBI:36357,,CHEBI:25367
molecules,CHEBI:36357,,CHEBI:25367
molecules,CHEBI:36357,,CHEBI:25367
sodium pentobarbital,CHEBI:7984,CHEBI:7983,CHEBI:26708;CHEBI:7983
sodium salt,CHEBI:26714,CHEBI:26714,CHEBI:26714
K+,CHEBI:29103,,
K+,CHEBI:29103,,
solutions,CHEBI:75958,CHEBI:75958,CHEBI:24870;CHEBI:75958
cation,CHEBI:36916,CHEBI:36916,CHEBI:36916
K+,CHEBI:29103,,
Na+,CHEBI:29101,,CHEBI:29101
K+,CHEBI:29103,,
Na+,CHEBI:29101,,CHEBI:29101
K+,CHEBI:29103,,
Na+,CHEBI:29101,,CHEBI:29101
Na+,CHEBI:29101,,CHEBI:29101
Na+,CHEBI:29101,,CHEBI:29101
K+,CHEBI:29103,,
antigenic,CHEBI:59132,CHEBI:59132,CHEBI:59132
HCO3 -,CHEBI:17544,,
HCO3 -,CHEBI:17544,,
HCO3 -,CHEBI:17544,,
CO2,CHEBI:16526,,CHEBI:16526
CO2,CHEBI:16526,,CHEBI:16526
HCO3 -,CHEBI:17544,,
HCO3 -,CHEBI:17544,,
HCO3 -,CHEBI:17544,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
molecules,CHEBI:36357,,CHEBI:25367
molecules,CHEBI:36357,,CHEBI:25367
molecules,CHEBI:36357,,CHEBI:25367
K+,CHEBI:29103,,
molecules,CHEBI:36357,,CHEBI:25367
molecules,CHEBI:36357,,CHEBI:25367
pigment,CHEBI:26130,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
bumetanide,CHEBI:3213,CHEBI:3213,CHEBI:3213
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
bumetanide,CHEBI:3213,CHEBI:3213,CHEBI:3213
loop-diuretic,CHEBI:77608,CHEBI:35498,CHEBI:35498
Na+,CHEBI:29101,,CHEBI:29101
K+,CHEBI:29103,,
Bumetanide,CHEBI:3213,CHEBI:3213,CHEBI:3213
K+,CHEBI:29103,,
Na+,CHEBI:29101,,CHEBI:29101
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
K+,CHEBI:29103,,
CO2,CHEBI:16526,,CHEBI:16526
HCO3 -,CHEBI:17544,,
free radicals,CHEBI:26519,,CHEBI:26519
CO2,CHEBI:16526,,CHEBI:16526
free radicals,CHEBI:26519,,CHEBI:26519
CO2,CHEBI:16526,,CHEBI:16526
HCO3 -,CHEBI:17544,,
free radicals,CHEBI:26519,,CHEBI:26519
free radical,CHEBI:26519,,CHEBI:26519
glutathione,CHEBI:16856,CHEBI:16856,CHEBI:16856;CHEBI:57925
melanin,CHEBI:25179,CHEBI:89634,CHEBI:25179;CHEBI:89634
pigment,CHEBI:26130,,
HCO3 -,CHEBI:17544,,
HCO3 -,CHEBI:17544,,
free radical,CHEBI:26519,,CHEBI:26519
glutathione,CHEBI:16856,CHEBI:16856,CHEBI:16856;CHEBI:57925
free radical,CHEBI:26519,,CHEBI:26519
free radical,CHEBI:26519,,CHEBI:26519
free radical,CHEBI:26519,,CHEBI:26519
K+,CHEBI:29103,,
free radicals,CHEBI:26519,,CHEBI:26519
K+,CHEBI:29103,,
glutathione,CHEBI:16856,CHEBI:16856,CHEBI:16856;CHEBI:57925
GSH,CHEBI:16856,,CHEBI:16856
glutathione,CHEBI:16856,CHEBI:16856,CHEBI:16856;CHEBI:57925
K+,CHEBI:29103,,
PPARδ agonist,CHEBI:73730,CHEBI:48705,CHEBI:48705;CHEBI:8104
cofactor,CHEBI:23357,CHEBI:23357,CHEBI:23357
long-chain fatty-acid,CHEBI:15904,CHEBI:37527,CHEBI:37527
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
cytochrome c,CHEBI:18070,CHEBI:18070,CHEBI:18070
cytochrome c,CHEBI:18070,CHEBI:18070,CHEBI:18070
fatty-acid,CHEBI:35366,CHEBI:37527,CHEBI:37527
cytochrome b,CHEBI:38551,CHEBI:38551,CHEBI:38551
cytochrome c,CHEBI:18070,CHEBI:18070,CHEBI:18070
GW501516,CHEBI:73726,,CHEBI:73726
glycogen,CHEBI:24384,CHEBI:28087,CHEBI:28087
triglyceride,CHEBI:17855,CHEBI:17855,CHEBI:17855;CHEBI:88875;CHEBI:88880;CHEBI:88881;CHEBI:88882;CHEBI:88890;CHEBI:88891;CHEBI:88892;CHEBI:88898;CHEBI:88899;CHEBI:88901;CHEBI:88940;CHEBI:88941;CHEBI:88943;CHEBI:88945;CHEBI:88946;CHEBI:88967;CHEBI:88968;CHEBI:88970;CHEBI:88971;CHEBI:88972;CHEBI:88973;CHEBI:88976;CHEBI:88977;CHEBI:88978;CHEBI:88979;CHEBI:88980;CHEBI:88982;CHEBI:88983;CHEBI:88984;CHEBI:88985;CHEBI:88986;CHEBI:88987;CHEBI:88993;CHEBI:88994;CHEBI:88995;CHEBI:88997;CHEBI:88998;CHEBI:88999;CHEBI:89001;CHEBI:89003;CHEBI:89005;CHEBI:89011;CHEBI:89016;CHEBI:89017;CHEBI:89018;CHEBI:89019;CHEBI:89020;CHEBI:89021;CHEBI:89022;CHEBI:89023;CHEBI:89024;CHEBI:89025;CHEBI:89166;CHEBI:89754;CHEBI:89756;CHEBI:89757;CHEBI:89758;CHEBI:89759;CHEBI:89763;CHEBI:89764;CHEBI:89765;CHEBI:89767;CHEBI:89768;CHEBI:89772;CHEBI:89774;CHEBI:89775;CHEBI:89776;CHEBI:89777;CHEBI:89779;CHEBI:89840;CHEBI:89841;CHEBI:89842;CHEBI:89948;CHEBI:89950;CHEBI:89952;CHEBI:89958;CHEBI:89959;CHEBI:89960;CHEBI:89961;CHEBI:89962;CHEBI:89971;CHEBI:90042;CHEBI:90047;CHEBI:90048;CHEBI:90049;CHEBI:90050;CHEBI:90051;CHEBI:90052;CHEBI:90053;CHEBI:90054;CHEBI:90066;CHEBI:90067;CHEBI:90069;CHEBI:90070;CHEBI:90072;CHEBI:90073
glucose,CHEBI:17234,CHEBI:17234,CHEBI:17234;CHEBI:4167;CHEBI:42758
PPARδ agonist,CHEBI:73730,CHEBI:48705,CHEBI:48705;CHEBI:8104
GW501516,CHEBI:73726,,CHEBI:73726
GW501516,CHEBI:73726,,CHEBI:73726
glucose,CHEBI:17234,CHEBI:17234,CHEBI:17234;CHEBI:4167;CHEBI:42758
PPARδ agonist,CHEBI:73730,CHEBI:48705,CHEBI:48705;CHEBI:8104
fatty-acid,CHEBI:35366,CHEBI:37527,CHEBI:37527
Fatty acids,CHEBI:35366,,CHEBI:35366
metabolites,CHEBI:25212,,CHEBI:25212
fatty-acid,CHEBI:35366,CHEBI:37527,CHEBI:37527
glucose,CHEBI:17234,CHEBI:17234,CHEBI:17234;CHEBI:4167;CHEBI:42758
glucose,CHEBI:17234,CHEBI:17234,CHEBI:17234;CHEBI:4167;CHEBI:42758
glucose,CHEBI:17234,CHEBI:17234,CHEBI:17234;CHEBI:4167;CHEBI:42758
chow,CHEBI:33290,,
chow,CHEBI:33290,,
GW501516,CHEBI:73726,,CHEBI:73726
compound,CHEBI:36357,,CHEBI:17905;CHEBI:32900;CHEBI:7772
dye,CHEBI:37958,CHEBI:37958,CHEBI:37958
agarose,CHEBI:2511,CHEBI:2511,CHEBI:2511
cytochrome c,CHEBI:18070,CHEBI:18070,CHEBI:18070
carnitine,CHEBI:17126,CHEBI:17126,CHEBI:16347;CHEBI:17126;CHEBI:3424;CHEBI:39547
agarose,CHEBI:2511,CHEBI:2511,CHEBI:2511
PPARδ agonist,CHEBI:73730,CHEBI:48705,CHEBI:48705;CHEBI:8104
GW501516,CHEBI:73726,,CHEBI:73726
glycogen,CHEBI:24384,CHEBI:28087,CHEBI:28087
triglyceride,CHEBI:17855,CHEBI:17855,CHEBI:17855;CHEBI:88875;CHEBI:88880;CHEBI:88881;CHEBI:88882;CHEBI:88890;CHEBI:88891;CHEBI:88892;CHEBI:88898;CHEBI:88899;CHEBI:88901;CHEBI:88940;CHEBI:88941;CHEBI:88943;CHEBI:88945;CHEBI:88946;CHEBI:88967;CHEBI:88968;CHEBI:88970;CHEBI:88971;CHEBI:88972;CHEBI:88973;CHEBI:88976;CHEBI:88977;CHEBI:88978;CHEBI:88979;CHEBI:88980;CHEBI:88982;CHEBI:88983;CHEBI:88984;CHEBI:88985;CHEBI:88986;CHEBI:88987;CHEBI:88993;CHEBI:88994;CHEBI:88995;CHEBI:88997;CHEBI:88998;CHEBI:88999;CHEBI:89001;CHEBI:89003;CHEBI:89005;CHEBI:89011;CHEBI:89016;CHEBI:89017;CHEBI:89018;CHEBI:89019;CHEBI:89020;CHEBI:89021;CHEBI:89022;CHEBI:89023;CHEBI:89024;CHEBI:89025;CHEBI:89166;CHEBI:89754;CHEBI:89756;CHEBI:89757;CHEBI:89758;CHEBI:89759;CHEBI:89763;CHEBI:89764;CHEBI:89765;CHEBI:89767;CHEBI:89768;CHEBI:89772;CHEBI:89774;CHEBI:89775;CHEBI:89776;CHEBI:89777;CHEBI:89779;CHEBI:89840;CHEBI:89841;CHEBI:89842;CHEBI:89948;CHEBI:89950;CHEBI:89952;CHEBI:89958;CHEBI:89959;CHEBI:89960;CHEBI:89961;CHEBI:89962;CHEBI:89971;CHEBI:90042;CHEBI:90047;CHEBI:90048;CHEBI:90049;CHEBI:90050;CHEBI:90051;CHEBI:90052;CHEBI:90053;CHEBI:90054;CHEBI:90066;CHEBI:90067;CHEBI:90069;CHEBI:90070;CHEBI:90072;CHEBI:90073
Glucose,CHEBI:17234,CHEBI:17234,CHEBI:17234;CHEBI:4167;CHEBI:42758
glucose,CHEBI:17234,CHEBI:17234,CHEBI:17234;CHEBI:4167;CHEBI:42758
glucose,CHEBI:17234,CHEBI:17234,CHEBI:17234;CHEBI:4167;CHEBI:42758
PPARδ Agonists,CHEBI:73730,,CHEBI:48705;CHEBI:8104
GW501516,CHEBI:73726,,CHEBI:73726
GW501516,CHEBI:73726,,CHEBI:73726
Glucose,CHEBI:17234,CHEBI:17234,CHEBI:17234;CHEBI:4167;CHEBI:42758
glucose,CHEBI:17234,CHEBI:17234,CHEBI:17234;CHEBI:4167;CHEBI:42758
glucose,CHEBI:17234,CHEBI:17234,CHEBI:17234;CHEBI:4167;CHEBI:42758
reagents,CHEBI:33893,,CHEBI:33893
phosphatidylserine,CHEBI:18303,,CHEBI:18303
phosphatidylserine,CHEBI:18303,,CHEBI:18303
phosphatidylserine,CHEBI:18303,,CHEBI:18303
pigmented,CHEBI:26130,,CHEBI:151129
lipopolysaccharide,CHEBI:16412,CHEBI:16412,CHEBI:16412;CHEBI:89981
phosphatidylserine,CHEBI:18303,,CHEBI:18303
immunogenic,CHEBI:60816,CHEBI:60816,CHEBI:60816
anti-inflammatory mediators,CHEBI:67079,,CHEBI:16830;CHEBI:16867;CHEBI:34840;CHEBI:52024;CHEBI:59524;CHEBI:73491;CHEBI:7553;CHEBI:81528
immunosuppressive mediators,CHEBI:35705,,CHEBI:16867;CHEBI:33357;CHEBI:52024;CHEBI:73491
molecules,CHEBI:36357,,CHEBI:25367
molecules,CHEBI:36357,,CHEBI:25367
phospholipid,CHEBI:16247,CHEBI:16247,CHEBI:16247
phosphatidylserine,CHEBI:18303,,CHEBI:18303
PS,CHEBI:18303,,
molecules,CHEBI:36357,,CHEBI:25367
PS,CHEBI:18303,,
glycoprotein,CHEBI:17089,CHEBI:17089,CHEBI:17089
PS,CHEBI:18303,,
molecules,CHEBI:36357,,CHEBI:25367
molecules,CHEBI:36357,,CHEBI:25367
PS,CHEBI:18303,,
molecule,CHEBI:36357,CHEBI:25367,CHEBI:25367
PS,CHEBI:18303,,
phosphatidylserine,CHEBI:18303,,CHEBI:18303
PS,CHEBI:18303,,
PS,CHEBI:18303,,
molecule,CHEBI:36357,CHEBI:25367,CHEBI:25367
PS,CHEBI:18303,,
anti-inflammatory mediators,CHEBI:67079,,CHEBI:16830;CHEBI:16867;CHEBI:34840;CHEBI:52024;CHEBI:59524;CHEBI:73491;CHEBI:7553;CHEBI:81528
platelet-activating factor,CHEBI:44811,,CHEBI:36707;CHEBI:44811;CHEBI:52450;CHEBI:78103
PAF,CHEBI:44811,,CHEBI:44811;CHEBI:52450
prostaglandin E2,CHEBI:15551,CHEBI:15551,CHEBI:15551
phosphatidylserine,CHEBI:18303,,CHEBI:18303
X-Gal,CHEBI:75055,,CHEBI:75055
X-Gal,CHEBI:75055,,CHEBI:75055
pigmented,CHEBI:26130,,CHEBI:151129
pigmented,CHEBI:26130,,CHEBI:151129
pigmented,CHEBI:26130,,CHEBI:151129
pigmented,CHEBI:26130,,CHEBI:151129
5-carboxytetramethylrhodamine,CHEBI:51657,CHEBI:51657,CHEBI:51657
TAMRA,CHEBI:51657,,CHEBI:52282
lipopolysaccharide,CHEBI:16412,CHEBI:16412,CHEBI:16412;CHEBI:89981
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
phosphatidylserine,CHEBI:18303,,CHEBI:18303
neomycin,CHEBI:7507,CHEBI:7507,CHEBI:7507
surfactant,CHEBI:35195,CHEBI:35195,CHEBI:35195
surfactant,CHEBI:35195,CHEBI:35195,CHEBI:35195
pigmented,CHEBI:26130,,CHEBI:151129
phosphatidylserine,CHEBI:18303,,CHEBI:18303
phosphatidylserine,CHEBI:18303,,CHEBI:18303
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
effector,CHEBI:35224,CHEBI:35224,CHEBI:35224
phosphatidylserine,CHEBI:18303,,CHEBI:18303
molecules,CHEBI:36357,,CHEBI:25367
phosphatidylserine,CHEBI:18303,,CHEBI:18303
phosphatidylserine,CHEBI:18303,,CHEBI:18303
phosphatidylserine,CHEBI:18303,,CHEBI:18303
phosphatidylserine,CHEBI:18303,,CHEBI:18303
neomycin,CHEBI:7507,CHEBI:7507,CHEBI:7507
G418,CHEBI:42768,,CHEBI:195256;CHEBI:42768
G418,CHEBI:42768,,CHEBI:195256;CHEBI:42768
agarose,CHEBI:2511,CHEBI:2511,CHEBI:2511
nylon,CHEBI:25614,,
reagent,CHEBI:33893,CHEBI:33893,CHEBI:33893
nylon,CHEBI:25614,,
Nonidet P-40,CHEBI:78708,CHEBI:78708,CHEBI:78708
sodium deoxycholate,CHEBI:9177,CHEBI:9177,CHEBI:9177
SDS,CHEBI:8984,,CHEBI:8984
cocktail,CHEBI:60004,,CHEBI:142738
SDS,CHEBI:8984,,CHEBI:8984
PVDF,CHEBI:53250,,
fixative,CHEBI:50913,CHEBI:50913,CHEBI:50913
formalin,CHEBI:16842,,CHEBI:16842
alcohol,CHEBI:30879,CHEBI:30879,CHEBI:16236;CHEBI:30879
hematoxylin,CHEBI:51686,,CHEBI:51686
H,CHEBI:51686,,
chromogens,CHEBI:75050,,CHEBI:75050
hematoxylin,CHEBI:51686,,CHEBI:51686
CO2,CHEBI:16526,,CHEBI:16526
TAMRA,CHEBI:51657,,CHEBI:52282
staurosporine,CHEBI:15738,CHEBI:15738,CHEBI:15738;CHEBI:57491
PS,CHEBI:18303,,
FITC,CHEBI:37926,,CHEBI:37926
propidium iodide,CHEBI:51240,CHEBI:51240,CHEBI:51240
CO2,CHEBI:16526,,CHEBI:16526
Alexa 488,CHEBI:52661,,CHEBI:140911;CHEBI:17995;CHEBI:28221
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
phosphatidylserine,CHEBI:18303,,CHEBI:18303
neomycin,CHEBI:7507,CHEBI:7507,CHEBI:7507
neomycin,CHEBI:7507,CHEBI:7507,CHEBI:7507
H,CHEBI:51686,,
glycogen,CHEBI:24384,CHEBI:28087,CHEBI:28087
H,CHEBI:51686,,
pigmented,CHEBI:26130,,CHEBI:151129
pigment,CHEBI:26130,,
TAMRA,CHEBI:51657,,CHEBI:52282
staurosporine,CHEBI:15738,CHEBI:15738,CHEBI:15738;CHEBI:57491
staurosporine,CHEBI:15738,CHEBI:15738,CHEBI:15738;CHEBI:57491
lipopolysaccharide,CHEBI:16412,CHEBI:16412,CHEBI:16412;CHEBI:89981
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
LPS,CHEBI:16412,,CHEBI:16412;CHEBI:52603;CHEBI:89981
signaling molecules,CHEBI:62488,,CHEBI:62488
molecules,CHEBI:36357,,CHEBI:25367
histone,CHEBI:15358,CHEBI:15358,CHEBI:15358
proteoglycans,CHEBI:37396,,CHEBI:37396
proteoglycans,CHEBI:37396,,CHEBI:37396
reagents,CHEBI:33893,,CHEBI:33893
molecule,CHEBI:36357,CHEBI:25367,CHEBI:25367
CsCl,CHEBI:63039,,CHEBI:53115
sucrose,CHEBI:17992,CHEBI:17992,CHEBI:17992
Tris,CHEBI:9754,CHEBI:9754,CHEBI:82282;CHEBI:9754
Fluorescein,CHEBI:31624,,CHEBI:24061
Tween-20,CHEBI:53424,,
phospho,CHEBI:32958,,CHEBI:48108
histone,CHEBI:15358,CHEBI:15358,CHEBI:15358
Cy3,CHEBI:37987,,CHEBI:37987
DAPI,CHEBI:51231,CHEBI:51231,CHEBI:51231
Cy3,CHEBI:37987,,CHEBI:37987
sucrose,CHEBI:17992,CHEBI:17992,CHEBI:17992
sucrose,CHEBI:17992,CHEBI:17992,CHEBI:17992
sucrose,CHEBI:17992,CHEBI:17992,CHEBI:17992
solutions,CHEBI:75958,CHEBI:75958,CHEBI:24870;CHEBI:75958
Fast Green,CHEBI:82468,,CHEBI:76181;CHEBI:76649
hematoxylin,CHEBI:51686,,CHEBI:51686
X-Gal,CHEBI:75055,,CHEBI:75055
water,CHEBI:15377,CHEBI:15377,CHEBI:15377
water,CHEBI:15377,CHEBI:15377,CHEBI:15377
mix,CHEBI:60004,,
hydrogen peroxide,CHEBI:16240,CHEBI:16240,CHEBI:16240
methanol,CHEBI:17790,CHEBI:17790,CHEBI:17790
Tween20,CHEBI:53424,,
Tween 20,CHEBI:53424,,CHEBI:53424
Biotin,CHEBI:15956,CHEBI:15956,CHEBI:15956;CHEBI:57586
histone,CHEBI:15358,CHEBI:15358,CHEBI:15358
alizarin red,CHEBI:16866,,CHEBI:16866
reagents,CHEBI:33893,,CHEBI:33893
Pharmaceuticals,CHEBI:52217,,CHEBI:52217
molecule,CHEBI:36357,CHEBI:25367,CHEBI:25367
tracer,CHEBI:35204,CHEBI:35204,CHEBI:35204;CHEBI:39211
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
molecules,CHEBI:36357,,CHEBI:25367
molecule,CHEBI:36357,CHEBI:25367,CHEBI:25367
molecule,CHEBI:36357,CHEBI:25367,CHEBI:25367
molecules,CHEBI:36357,,CHEBI:25367
cocktail,CHEBI:60004,,CHEBI:142738
cocktail,CHEBI:60004,,CHEBI:142738
CY3,CHEBI:37987,,CHEBI:37987
FITC,CHEBI:37926,,CHEBI:37926
TritonX-100,CHEBI:9750,CHEBI:29234,CHEBI:29234
fluorescein,CHEBI:31624,,CHEBI:24061
CY3,CHEBI:37987,,CHEBI:37987
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
"1,1′-dioctadecyl-3,3,3′,3′-tetramethylindocarbocyanine perchlorate",CHEBI:52029,CHEBI:29309;CHEBI:49706,CHEBI:141315;CHEBI:16973;CHEBI:26755;CHEBI:27385;CHEBI:277842;CHEBI:29309;CHEBI:32386;CHEBI:32875;CHEBI:49706;CHEBI:52032;CHEBI:52218
DiI,CHEBI:52029,,CHEBI:52029
Tris,CHEBI:9754,CHEBI:9754,CHEBI:82282;CHEBI:9754
acetic acid,CHEBI:15366,CHEBI:15366,CHEBI:15366
Pharmaceuticals,CHEBI:52217,,CHEBI:52217
CO2,CHEBI:16526,,CHEBI:16526
DiI,CHEBI:52029,,CHEBI:52029
dye,CHEBI:37958,CHEBI:37958,CHEBI:37958
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
antigen,CHEBI:59132,CHEBI:59132,CHEBI:59132
G418,CHEBI:42768,,CHEBI:195256;CHEBI:42768
antigen,CHEBI:59132,CHEBI:59132,CHEBI:59132
cocktail,CHEBI:60004,,CHEBI:142738
cocktail,CHEBI:60004,,CHEBI:142738
antigen,CHEBI:59132,CHEBI:59132,CHEBI:59132
mixture,CHEBI:60004,CHEBI:60004,CHEBI:60004
ethidium-bromide,CHEBI:4883,CHEBI:15858;CHEBI:42478,CHEBI:15858;CHEBI:29871;CHEBI:42478
agarose,CHEBI:2511,CHEBI:2511,CHEBI:2511
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
cytochrome c,CHEBI:18070,CHEBI:18070,CHEBI:18070
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
fluorogenic,CHEBI:76219,CHEBI:76219,CHEBI:76219
protein disulfide,CHEBI:16249,CHEBI:16249,CHEBI:16249
dye,CHEBI:37958,CHEBI:37958,CHEBI:37958
acidic,CHEBI:37527,CHEBI:37527,CHEBI:37527;CHEBI:4305;CHEBI:53092
dye,CHEBI:37958,CHEBI:37958,CHEBI:37958
dye,CHEBI:37958,CHEBI:37958,CHEBI:37958
dextran,CHEBI:52071,CHEBI:52071,CHEBI:52071
FITC,CHEBI:37926,,CHEBI:37926
dextran,CHEBI:52071,CHEBI:52071,CHEBI:52071
FITC,CHEBI:37926,,CHEBI:37926
dextran,CHEBI:52071,CHEBI:52071,CHEBI:52071
FITC,CHEBI:37926,,CHEBI:37926
Dextran,CHEBI:52071,CHEBI:52071,CHEBI:52071
FITC,CHEBI:37926,,CHEBI:37926
dextran,CHEBI:52071,CHEBI:52071,CHEBI:52071
FITC,CHEBI:37926,,CHEBI:37926
dextran,CHEBI:52071,CHEBI:52071,CHEBI:52071
FITC,CHEBI:37926,,CHEBI:37926
hydrogen peroxide,CHEBI:16240,CHEBI:16240,CHEBI:16240
hydrogen peroxide,CHEBI:16240,CHEBI:16240,CHEBI:16240
hydrogen peroxide,CHEBI:16240,CHEBI:16240,CHEBI:16240
H2O2,CHEBI:16240,,CHEBI:16240
H2O2,CHEBI:16240,,CHEBI:16240
reagents,CHEBI:33893,,CHEBI:33893
antigen,CHEBI:59132,CHEBI:59132,CHEBI:59132
cytochrome c,CHEBI:18070,CHEBI:18070,CHEBI:18070
antigen,CHEBI:59132,CHEBI:59132,CHEBI:59132
biotin,CHEBI:15956,CHEBI:15956,CHEBI:15956;CHEBI:57586
dextran,CHEBI:52071,CHEBI:52071,CHEBI:52071
FITC,CHEBI:37926,,CHEBI:37926
Lysotracker Red DND-99,CHEBI:52117,,CHEBI:52117
glucose,CHEBI:17234,CHEBI:17234,CHEBI:17234;CHEBI:4167;CHEBI:42758
CO2,CHEBI:16526,,CHEBI:16526
KCl,CHEBI:32588,,CHEBI:32588
antigen,CHEBI:59132,CHEBI:59132,CHEBI:59132
neomycin,CHEBI:7507,CHEBI:7507,CHEBI:7507
G418,CHEBI:42768,,CHEBI:195256;CHEBI:42768
CO2,CHEBI:16526,,CHEBI:16526
cocktail,CHEBI:60004,,CHEBI:142738
IBMX,CHEBI:48518,,CHEBI:34795;CHEBI:48518
TPA,CHEBI:37537,,CHEBI:15702;CHEBI:37537;CHEBI:61432
forskolin,CHEBI:42471,CHEBI:42471,CHEBI:42471
dopamine,CHEBI:18243,CHEBI:18243,CHEBI:18243;CHEBI:59905
formaldehyde,CHEBI:16842,CHEBI:16842,CHEBI:16842
glutaraldehyde,CHEBI:64276,CHEBI:64276,CHEBI:64276
cacodylate,CHEBI:16223,,
formaldehyde,CHEBI:16842,CHEBI:16842,CHEBI:16842
methanol,CHEBI:17790,CHEBI:17790,CHEBI:17790
acetone,CHEBI:15347,CHEBI:15347,CHEBI:15347
